,0,1
10,Im So Lonesome I Could Cry,4- 11-7 4- 4- 4-7 4- 4-7 9- 4- 11-7 4- 4- 4-7 4- 4-7 9- 4- 11-7 4- 4-7 4- 4-7 9- 4- 11-7 4- 4-7 4- 4-7 4- 4-7 9- 4- 11-7 4- 4-7 4- 4-7 9- 4- 11-7 4- 4-7 4- 4-7 4- 4-7 9- 4- 11-7 4-
11,Sixteen Tons,9-m 9-m 7- 2-/6 4- 9-m 7- 5- 4- 9-m 9-m 7- 2-/6 4- 9-m 7- 2-/6 4- 9-m 7- 5- 4- 9-m 9-m 7- 2-/6 4- 9-m 7- 5- 4- 9-m 9-m 7- 2-/6 4- 9-m 7- 2-/6 4- 9-m 7- 5- 4- 9-m 9-m 7- 2-/6 4- 9-m 7- 5- 4- 9-m 9-m 7- 2-/6 4- 9-m 7- 2-/6 4- 9-m 7- 5- 4- 9-m 9-m 7- 2-/6 4- 9-m 7- 5- 4- 9-m 9-m 7- 2-/6 4- 9-m 7- 2-/6 4- 9-m 9-m/4 2-m
12,Que Sera Sera,9- 4- 9- 2- 9- 4- 9- 4- 9- 9- 4- 9- 2- 9- 4- 9- 4- 9- 9- 4- 9- 2- 9- 4- 9- 4- 9- 4- 9-
13,Dream A Little Dream Of Me,0- 11-7 8- 7- 0- 11-7 9- 9-7 2-m 5-m 0- 2-9 7-7 0- 11-7 8- 7- 0- 11-7 9- 9-7 2-m 5-m 0- 5-m 7-7 0- 3-7 8- 5-m 3-7 8- 5-m 3-7 8- 5-m 3-7 8- 5-m 7-7 0- 11-7 8-7 7-7 0- 11-7 9- 9-7 2-m 5-m 0- 5-m 7-7 0-
14,Let It Be Me,7- 2- 4-m 11-m 0- 7- 0- 7- 7- 2- 4-m 11-m 0- 7- 0- 7- 0- 11-m 0- 7- 9-m 11-m 0- 11-7 2- 7- 2- 4-m 11-m 0- 7- 0- 7-
15,Jailhouse Rock,3- 4- 3- 4- 3- 4- 3- 4- 3- 4- 3- 4- 9-7 4- 11-7 9-7 4- 9-7 4- 3- 4- 3- 4- 3- 4- 3- 4- 9-7 4- 11-7 9-7 4- 9-7 4- 3- 4- 3- 4- 3- 4- 3- 4- 9-7 4- 11-7 9-7 4- 9-7 4- 9-7 9-7 4- 4- 11-7 9-7 4- 4- 3- 4- 3- 4- 3- 4- 3- 4- 9-7 4- 11-7 9-7 4- 9-7 4- 3- 4- 3- 4- 3- 4- 3- 4- 9-7 4- 11-7 9-7 4- 9-7 4- 4- 9-7 4- 4- 9-7 4- 4- 9-7 4- 4- 9-7 4-
16,Lonesome Town,7- 11-m 0- 2- 7- 11-m 0- 2- 7- 11- 0- 2- 7- 0- 0-m 7- 4-m 0- 2- 7- 2- 7- 11- 0- 2- 7- 0- 0-m 7- 4-m 0- 2- 7- 0- 11-m 0- 2- 7- 0- 11-m 9- 2- 7- 11- 0- 2- 7- 0- 0-m 7- 4-m 0- 2- 7- 2- 0- 0-m 7- 4-m 0- 2- 7- 0- 7-
17,Wonderful World,7- 4-m 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 0- 7- 0- 2- 7- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 0- 7- 0- 2- 7- 2- 7- 2- 7- 9-7 7- 9-7 2-7 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 0- 7- 0- 2- 7- 7- 4-m 0- 2- 7- 4-m 0- 2- 7- 0- 7- 0- 2- 7- 2- 7-
18,Big Rock Candy Mountain,0- 7- 0- 0- 7- 0- 5- 0- 5- 0- 5- 0- 7- 0- 7- 0- 0- 5- 0- 5- 0- 5- 7- 0- 5- 0- 5- 0- 5- 0- 5- 0- 5- 0- 7- 0- 0- 5- 0- 5- 0- 5- 7- 0- 5- 0- 5- 0- 5- 0- 5- 0- 5- 0- 7- 0- 0- 5- 0- 5- 0- 5- 7- 0- 5- 0- 5- 0- 5- 0- 5- 0- 5- 0- 7- 0- 0- 5- 0- 5- 0- 5- 7- 0- 5- 0- 5- 0- 5- 0- 5- 0- 5- 0- 7- 0- 0- 5- 0- 5- 0- 5- 0- 5- 0- 5- 0- 7- 0-
19,Blue Christmas,4- 4- 11-7 11-7 4- 4-7 9- 6- 11-7 4- 4- 11-7 11-7 4- 4- 4-7 9- 6- 11-7 4- 4- 4- 11-7 11-7 4- 4- 4-7 9- 6- 11-7 4- 4-7 9- 6- 11-7 4- 4- 4- 11-7 11-7 4- 4-7 9- 6- 11-7 4- 4- 11-7 11-7 4- 4-7 9- 6- 11-7 4- 11-7 4- 4-
20,All I Have To Do Is Dream,0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 5- 0- 0-7 5- 4-m 2-m 7- 0- 0-7 5- 4-m 2-7 7- 5- 4-m 2-m 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 5- 0- 0-7 5- 4-m 2-m 7- 0- 0-7 5- 4-m 2-7 7- 5- 4-m 2-m 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 9-m 5- 7- 0- 5- 0-
21,El Paso,2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 7- 0- 7- 7- 2- 2-7 2-7 2-7 7- 9-7 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 7- 0- 7- 7- 2- 2-7 2-7 2-7 7- 9-7 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 7- 0- 7- 7- 2- 2-7 2-7 2-7 7- 9-7 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 7- 0- 7- 7- 2- 2-7 2-7 2-7 7- 9-7 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2- 2- 4-m 9-7 2-
22,Sway,2-m 9- 9-7 2-m 9- 9-7 2-m 2-m 9- 9-7 2-m 9- 9-7 2-m 0- 5- 9- 10- 9- 9- 9-7 2-m 9- 9-7 2-m 0- 5- 9- 10- 9- 9- 9-7 2-m 9- 9-7 2-m 9- 9-7 2-m
23,Fever,9-m 0- 4- 9-m 9-m 0- 2-m 9-m 9-m 0- 4- 9-m 9-m 0- 2-m 9-m 9-m 0- 4- 9-m 9-m 0- 2-m 9-m 9-m 0- 4- 9-m 9-m 0- 2-m 9-m 9-m 0- 4- 9-m 9-m 0- 2-m 9-m 9-m 0- 4- 9-m 10-m 1- 3-m 10-m 10-m 1- 5- 10-m 10-m 1- 3-m 10-m 10-m 1- 5- 10-m 11-m 2- 4-m 11-m 11-m 2- 6- 11-m 11-m 2- 4-m 11-m 11-m 2- 6- 11-m 11-m 2- 4-m 11-m 11-m 2- 6- 11-m 11-m 2- 4-m 11-m 11-m 2- 6- 11-m 6- 11-m 6- 11-m 6- 11-m
24,All Shook Up,9- 2- 4- 9- 9- 2- 4- 9- 2- 9- 2- 4- 9- 2- 4- 9- 2- 9- 2- 4- 9- 2- 4- 9- 2- 4- 9-
25,Hound Dog,7- 7- 0-7 7- 2-7 0-7 7- 5- 0- 0- 0- 7-7 5- 0- 0- 0- 0- 7-7 5- 0-
26,Your Cheatin Heart,7-7 0- 0- 5- 7- 0- 0- 5- 7- 0- 5- 0- 2-7 7- 0- 5- 7-7 0- 0- 5- 7- 0- 5- 7- 0- 0- 5- 7- 0- 5- 0- 2-7 7- 0- 5- 7-7 0-
27,Santa Baby,0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7-7 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 5- 0- 0-7 4- 4-7 9- 9-7 2-7 7- 7-7 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7-7 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7-7 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 5- 0- 0-7 4- 4-7 9- 9-7 2-7 7- 7-7 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0- 9-m 2-m7 7- 0-
28,Love Me Tender,6-7/1 11-m 7-m6 11-7 2-7/9 2- 2- 4-7 9-7 2- 4-7 9-7 2- 6-7/1 11-m 2-7/9 7- 7-m6 2- 11-7 4-7 9-7 2- 2- 4-7 9-7 2- 4-7 9-7 2- 6-7/1 11-m 2-7/9 7- 7-m6 2- 11-7 4-7 9-7 2- 2- 4-7 9-7 2- 4-7 9-7 2- 6-7/1 11-m 2-7/9 7- 7-m6 2- 11-7 4-7 9-7 2-
29,All Of Me,0- 4-7 9-7 2-m 4-7 9-m7 2-7 2-m 7-7 0- 4-7 9-7 2-m 5- 5-m 0- 4-7 9-7 2-m 7-7 0- 4-7 2-m 7-7 0-maj7 4-7 9-7 2-m7 4-7 9-m7 2-7 2-m7 7-7 0-maj7 4-7 9-7 2-m7 5- 5-m7 0-maj7 4-7 9-7 2-m7 7-7 0-maj7 3-dim7 2-m7 7-7
30,La Vie En Rose,7- 9-m 0-m 7- 2- 7- 7-maj7 4-m 9-m 2- 9-m 2- 9-m 2- 7- 2- 7- 7-maj7 4-m 7- 0- 0-m 7- 9- 2- 7- 7-maj7 9-m 2- 0- 2- 7- 7- 4- 9-m 2- 7- 2-m 4- 2- 7- 7-maj7 4-m 9-m 2- 9-m 2- 9-m 2- 7- 8-m 2- 7- 7-maj7 4-m 7- 0- 0-m 7- 9- 2- 7- 9-m 2- 9-m 2- 7- 7- 7-maj7 4-m 9-m 2- 9-m 2- 7-
31,Trouble,0- 5- 3- 0- 0- 5- 3- 0- 7- 0- 10- 7- 0- 5- 3- 0- 0- 7- 0- 10- 0- 0- 5- 3- 0- 7- 0- 10- 0- 0- 5- 3- 0- 0-7 0-7 5- 0- 7-7 5- 7-7 0- 5- 0- 7-7 0- 0-7 0-7 5- 0- 7-7 5- 7-7 0- 0- 7-7 0- 2- 7-7 0-
32,Bye Bye Love,9- 0-5 2-5 9- 0-5 2-5 2- 9- 2- 9- 2- 9- 4- 9- 2- 9- 2- 9- 2- 9- 4- 9- 4- 9- 4- 9- 4- 9- 9-7 2- 4- 9- 2- 9- 2- 9- 2- 9- 4- 9- 2- 9- 2- 9- 2- 9- 4- 9- 4- 9- 4- 9- 4- 9-7 2- 4- 9- 2- 9- 2- 9- 2- 9- 4- 9- 2- 9- 2- 9- 2- 9- 4- 9- 4- 9- 9- 4- 9- 9- 4- 9-
33,I Fall In Love Too Easily,9-7b5 9-dim 8-7#11 0-7sus4 0-7b9 2-dim 3-6/9 5-m7 10-7 3-maj7 8-maj7 2-dim 7-7 0-m7 9-7b5 2-dim 7-7 0-m7 0-m7/10 9-dim 8-7#11 2-dim 7-7 9-dim 2-7 7-7 0-7sus4 0-7b9 5-m7 5-m7 8-m7 1-7 3-maj7 0-7b9 5-m7 10-7 3-6/9 6-7 9-dim 2-7 7-7 0-7sus4 0-7b9 5-m7 5-m7 8-m7 1-7 3-maj7 0-7b9 5-m7 10-7 3-6/9
34,Dont Be Cruel,2- 2- 7- 2- 4-m 9- 2- 2- 2- 7- 2- 4-m 9- 2- 2-7 7- 9- 7- 9- 2- 2- 2- 7- 2- 4-m 9- 2- 2-7 7- 9- 7- 9- 2- 2- 2- 7- 2- 4-m 9- 2- 2-7 7- 9- 7- 9- 2- 4-m 9- 2- 4-m 9- 2- 2-7 7- 9- 7- 9- 2-
35,Gentle On My Mind,0- 0- 0- 0- 0- 0-maj7 0-6 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 0- 0- 0-maj7 0-6 0-maj7 0- 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 2-m 7-7 0- 0- 0-maj7 0-6 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 0- 0- 0-maj7 0-6 0-maj7 0- 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 2-m 7-7 0- 0- 0-maj7 0-6 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 0- 0- 0-maj7 0-6 0-maj7 0- 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 2-m 7-7 0- 0- 0-maj7 0-6 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 0- 0- 0-maj7 0-6 0-maj7 2-m 2-m 2-mmaj7 2-m7 7-7 2-m 7-7 0-
36,Hey Good Lookin,0- 2- 7-7 0- 7-7 0- 2- 7-7 0- 5- 0- 5- 0- 5- 0- 2- 7-7 0- 2- 7-7 0- 7-7 0- 2- 7-7 0- 0- 2- 7-7 0- 5- 0- 5- 0- 5- 0- 2- 7-7 0- 2- 7-7 0-
37,Big River,4- 9- 4- 11-7 4- 4- 4- 6-7 11-7 4- 9- 4- 11-7 4- 4- 4- 6-7 11-7 4- 9- 4- 11-7 4- 4- 4- 4- 4- 9- 9- 4- 4- 11-7 11-7 4- 4- 4- 4- 6-7 11-7 4- 9- 4- 11-7 4- 4- 4- 6-7 11-7 4- 9- 4- 11-7 4- 4- 4- 6-7 11-7 4- 9- 4- 11-7 4-
38,Everyday,2- 7- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 2- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 2- 2-7 7- 0- 5- 10- 9- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 2- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 2- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 2- 2-7 7- 0- 5- 10- 9- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 9-7 2- 7- 2- 9-7 2- 7- 9-7 2- 7- 2- 2- 2- 2-
39,Ill Be Seeing You,5- 9-7 7-m 2-7 7-m 7-m 2-7 7-m 5- 2-m 7-m 0-7 5- 0-7 5- 9-7 7-m 2-7 7-m 2-7 7-m 0-m 2-7 7-m 9-7 2-m 7-7 7-m7 10-m 5- 5- 9-7 7-m 2-7 7-m 2-7 7-m 0-m 2-7 7-m 9-7 2-m 7-7 7-m7 10-m 5-
40,Cheek To Cheek,9-6 9- 4-dim 11-m7-5 4-7 9-6 9- 4-dim 11-m7-5 4-7 9- 9-maj7 6-m 1-m7-5 6-7 2- 2-9 0-dim 11-m7-5 9- 1-m7-5 6-7 2-9 0-dim 4-7 4-7#9 4-7 9- 4-dim 4-7 9-6 9- 4-dim 11-m7-5 4-7 9-6 9- 4-dim 11-m7-5 4-7 9- 9-maj7 6-m 1-m7-5 6-7 2- 2-9 0-dim 11-m7-5 9- 1-m7-5 6-7 2-9 0-dim 4-7 4-7#9 4-7 9- 9-7 2-9 4-7 9- 9-7 2-9 4-7 9- 9-7 2-9 4-7 9- 6-7 2-9 4-7 9- 9-7 2-9 4-7 9- 9-7 2-9 4-7 9- 9-7 2-9 4-7 9- 6-7 2-9 4-7 9- 10-m7 7-m7 6-m7 5-m7 4-7 9-6 9- 4-dim 11-m7-5 4-7 9-6 9- 4-dim 11-m7-5 4-7 9- 9-maj7 6-m 1-m7-5 6-7 2- 2-9 0-dim 11-m7-5 9- 1-m7-5 6-7 2-9 0-dim 4-7 4-7#9 4-7 9- 2-9 9-
41,Mr Sandman,9- 6-m 11-m 4- 9- 6-m 11-m 4- 9- 8- 1-7 6- 11- 4- 9- 5- 4- 9- 8- 1-7 6- 11-m 2-m 9- 11- 4- 9- 2- 11-m 4-m 9- 2- 11-m 4-m 9- 11-m 2- 1-7 6- 11- 4- 9- 2- 10- 9- 2- 1-7 6- 11- 11-m 7- 4-m 10- 7-m7 11-m 4- 2- 2-m 10- 0- 5- 7-m 0- 9- 8- 1-7 6- 11- 4- 9- 5- 4- 9- 8- 1-7 6- 11-m 2- 9- 11- 9- 11-7 9- 11- 4- 9- 9-
42,Winter Wonderland,0- 2-m 7-7 7- 7-/5 7- 7-/5 2-9 7-7 0- 0- 2-m 7-7 7- 7-/5 7- 5-/7 2-9 7-7 0- 4- 9- 4- 4- 9- 4- 7- 0- 7- 4-m7 9-7 2-7 7-7 0- 2-m7 7-7 7-/2 5-/7 7- 5-/7 2-7 7-7 0- 4- 9- 4- 4- 9- 4- 7- 0- 7- 4-m7 9-7 2-7 7-7 0- 2-m7 7-7 7-/2 5-/7 7- 5-/7 2-7 7-7 0- 2-7 7-7 0- 2-7 7-7 0-
43,Dream Lover,0- 9-m 0- 9-m 0- 7-7 0- 5- 0- 9-m 5- 7- 0- 7- 0- 9-m 0- 9-m 0- 7-7 0- 5- 0- 9-m 5- 7- 0- 0-7 5- 0- 2-7 7-7 7-7 0- 9-m 0- 9-m 0- 7-7 0- 5- 0- 9-m 5- 7- 0- 8-7 1- 10-m 1- 10-m 1- 8-7 1- 6- 1- 10-m 6- 8- 1- 10-m 1- 10-m 1- 10-m 1-
44,Chanson Pour Lauvergnat,11-m 6-7 11-m 6-7 11-m 6-7 11-m 11-m 6-7 7- 9-7 2- 6-7 11-m 6-7 11-m 11-m 6-7 7- 9-7 2- 2-7 7- 9-7 2- 11-m 4-m 6-7 11-m 6-7 11-m 7- 7-7 6-7 11-m 6-7 11-m 11-m 4-m 9- 7- 6-7 11-m 11-m 6-7 11-m 11-m 6-7 7- 9-7 2- 6-7 11-m 6-7 11-m 11-m 6-7 7- 9-7 2- 2-7 7- 9-7 2- 11-m 4-m 6-7 11-m 6-7 11-m 7- 7-7 6-7 11-m 6-7 11-m 11-m 4-m 9- 7- 6-7 11-m 11-m 6-7 11-m 11-m 6-7 7- 9-7 2- 6-7 11-m 6-7 11-m 11-m 6-7 7- 9-7 2- 2-7 7- 9-7 2- 11-m 4-m 6-7 11-m 6-7 11-m 7- 7-7 6-7 11-m 6-7 11-m 11-m 4-m 9- 7- 6-7 11-m
45,We Belong Together,5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 5-7 10- 10-m 5- 10- 10-m 7-7 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 2-m 7-m 0- 5- 10- 5-
46,Summertime,9-m 4-7 9-m 2-m 5- 4-7 9-m 4-7 9-m 0- 4-7 9-m 9-m 4-7 9-m 2-m 5- 4-7 9-m 4-7 9-m 0- 5- 4-7 9-m 9-m 4-7 9-m 2-m 5- 4-7 9-m 4-7 9-m 0- 4-7 9-m
47,St James Infirmary,2-m 9-7 2-m 2-m 9-7 2-m 2-m 10-7 9-7 2-m 9-7 2-m 10-7 9-7 2-m 2-m 9-7 2-m 2-m 9-7 2-m 2-m 10-7 9-7 2-m 9-7 2-m 10-7 9-7 2-m 2-m 9-7 2-m 2-m 10-7 9-7 2-m 9-7 2-m 10-7 9-7 2-m 2-m 9-7 2-m 2-m 10-7 9-7 2-m 9-7 2-m 10-7 9-7 2-m
48,Freight Train,0- 7-7 7- 0- 4-7 5- 0- 7-7 0- 0- 7-7 7- 0- 4-7 5- 0- 7-7 0- 0- 7-7 7- 0- 4-7 5- 0- 7-7 0- 0- 7-7 7- 0- 4-7 5- 0- 7-7 0- 0- 7-7 7- 0- 4-7 5- 0- 7-7 0-
49,Unforgettable,7- 7-maj7 7-dim 0- 0-maj7 9-9 4-m7 0-m 5-6 5-m7 0- 9-7 9-9 2-9 1- 2-7 7- 7-maj7 7-dim 0- 0-maj7 9-9 4-m7 0-m 5-6 5-m7 0- 9-7 9-9 2-9 1- 2-7 7- 7-maj7 7-dim 0- 0-maj7 9-9 4-m7 0-m 5-6 5-m7 0- 9-7 9-9 2-9 1- 7-
50,I Only Have Eyes For You,10-7 7- 2- 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 0-7 5-maj7 9-m7 8-7 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 0-7 5-maj7 2-7 7-m7 0- 5-maj7 5-7 10-maj7 10-m7 5- 1-9 0- 10-maj7 0- 10-maj7 0- 10-maj7 0- 0-7 5-maj7 2-7 7-m7 0- 0- 0-
51,You Send Me,7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7b9 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 0- 7- 9-m7 2-7b9 7-maj7 7-6 9-m7 2-7b9 7-maj7 7-6 9-m7 2-7b9 7-maj7 5-7 4-7 9-7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7b9 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 0- 7- 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 0- 7- 9-m7 2-7b9 7-maj7 7-6 9-m7 2-7b9 7-maj7 7-6 9-m7 2-7b9 7-maj7 5-7 4-7 9-7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 4-m7 9-m7 2-7 7- 0- 7-
52,Lost Highway,2- 2- 9- 2- 2- 2- 7- 2- 2- 9- 7- 2- 2- 9- 2- 2- 7- 2- 2- 9- 7- 2- 2- 9- 2- 2- 2- 7- 2- 2- 2- 2- 9- 9- 7- 7- 2- 2- 2- 2- 9- 2- 2- 2- 7- 2- 2- 9- 7- 2- 2- 9- 2- 2- 7- 2- 2- 9- 7- 2- 2- 9- 2-
53,All I Have To Do Is Dream,4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11- 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 9- 4- 4-7 9- 8-m 6-m 11-7 4- 4-7 9- 8-m 6-7 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11- 4- 9- 4- 4-7 9- 8-m 6-m 11-7 4- 4-7 9- 8-m 6-7 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11-7 4- 1-m 9- 11- 4- 1-m 9- 11-
